"{'CID': 288, 'InChIKey': 'PHIQHXFUZVPYII-UHFFFAOYSA-N'}","{'CID': 85, 'InChIKey': 'PHIQHXFUZVPYII-UHFFFAOYSA-O'}"
"{'CID': 288, 'InChIKey': 'PHIQHXFUZVPYII-UHFFFAOYSA-N'}","{'CID': 85, 'InChIKey': 'PHIQHXFUZVPYII-UHFFFAOYSA-O'}"
"{'CID': 60961, 'InChIKey': 'OIRDTQYFTABQOQ-KQYNXXCUSA-N'}"
"{'CID': 5280723, 'InChIKey': 'GMVPRGQOIOIIMI-DWKJAMRDSA-N'}"
"{'CID': 6253, 'InChIKey': 'UHDGCWIWMRVCDJ-CCXZUQQUSA-N'}"
"{'CID': 5462222, 'InChIKey': 'ZLMJMSJWJFRBEC-UHFFFAOYSA-N'}"
"{'CID': 5816, 'InChIKey': 'UCTWMZQNUQWSLP-VIFPVBQESA-N'}"
"{'CID': 1061, 'InChIKey': 'NBIIXXVUZAFLBC-UHFFFAOYSA-K'}"
"{'CID': 441074, 'InChIKey': 'LOUPRKONTZGTKE-LHHVKLHASA-N'}","{'CID': 68638786, 'InChIKey': 'NGXLOCPSRZVKMI-VJAUXQICSA-N'}"
"{'CID': 441074, 'InChIKey': 'LOUPRKONTZGTKE-LHHVKLHASA-N'}","{'CID': 68638786, 'InChIKey': 'NGXLOCPSRZVKMI-VJAUXQICSA-N'}"
"{'CID': 156391, 'InChIKey': 'CMWTZPSULFXXJA-VIFPVBQESA-N'}"
"{'CID': 31703, 'InChIKey': 'AOJJSUZBOXZQNB-TZSSRYMLSA-N'}"
"{'CID': 2083, 'InChIKey': 'NDAUXUAQIAJITI-UHFFFAOYSA-N'}"
"{'CID': 2092, 'InChIKey': 'WNMJYKCGWZFFKR-UHFFFAOYSA-N'}"
"{'CID': 2099, 'InChIKey': 'JSWZEAMFRNKZNL-UHFFFAOYSA-N'}"
"{'CID': 2140, 'InChIKey': 'YVPYQUNUQOZFHG-UHFFFAOYSA-N'}"
"{'CID': 2157, 'InChIKey': 'IYIKLHRQXLHMJQ-UHFFFAOYSA-N'}"
"{'CID': 2159, 'InChIKey': 'NTJOBXMMWNYJFB-UHFFFAOYSA-N'}"
"{'CID': 2160, 'InChIKey': 'KRMDCWKBEZIMAB-UHFFFAOYSA-N'}"
"{'CID': 2179, 'InChIKey': 'XCPGHVQEEXUHNC-UHFFFAOYSA-N'}"
"{'CID': 135409400, 'InChIKey': 'OTBXOEAOVRKTNQ-UHFFFAOYSA-N'}"
"{'CID': 2249, 'InChIKey': 'METKIMKYRPQLGS-UHFFFAOYSA-N'}"
"{'CID': 447043, 'InChIKey': 'MQTOSJVFKKJCRP-BICOPXKESA-N'}"
"{'CID': 5311017, 'InChIKey': 'YXKTVDFXDRQTKV-HNNXBMFYSA-N'}"
"{'CID': 2351, 'InChIKey': 'UIEATEWHFDRYRU-UHFFFAOYSA-N'}"
"{'CID': 2405, 'InChIKey': 'VHYCDWMUTMEGQY-UHFFFAOYSA-N'}"
"{'CID': 2474, 'InChIKey': 'LEBVLXFERQHONN-UHFFFAOYSA-N'}"
"{'CID': 644073, 'InChIKey': 'RMRJXGBAOAMLHD-IHFGGWKQSA-N'}"
"{'CID': 2477, 'InChIKey': 'QWCRAEMEVRGPNT-UHFFFAOYSA-N'}"
"{'CID': 2520, 'InChIKey': 'SGTNSNPWRIOYBX-UHFFFAOYSA-N'}"
"{'CID': 2585, 'InChIKey': 'OGHNVEJMJSYVRP-UHFFFAOYSA-N'}"
"{'CID': 83898, 'InChIKey': 'WUTYZMFRCNBCHQ-PSASIEDQSA-N'}","{'CID': 2684, 'InChIKey': 'WUTYZMFRCNBCHQ-UHFFFAOYSA-N'}","{'CID': 18642481, 'InChIKey': 'WUTYZMFRCNBCHQ-WPRPVWTQSA-N'}","{'CID': 25137844, 'InChIKey': 'WUTYZMFRCNBCHQ-LHIURRSHSA-N'}","{'CID': 132935795, 'InChIKey': 'WUTYZMFRCNBCHQ-HTLJXXAVSA-N'}"
